VERIFICADO LT;ESTIMADO LT;CONFIGURADOR LT;VERIFICADO TR;ESTIMADO TR;CONFIGURADOR TR;VERIFICADO USINA;ESTIMADO USINA;VERIFICADO UG;ESTIMADO UG;CONFIGURADOR UG;VERIFICADO COMP;ESTIMADO COMP;CONFIGURADOR COMP;VERIFICADO BARRA;ESTIMADO BARRA;CONFIGURADOR BARRA;VERIFICADO UFE;ESTIMADO UFE;VERIFICADO CALC;DIGITAIS;PDP USINA;PDP CARGA
MSANA_138_LTMSAQU_2_MVAR.v;MSANA_138_LTMSAQU_2_MVAR.e;MSCAO_138_LTMSCAS_1.c;MSANA_230_TRTF2_P_MVAR.v;MSANA_230_TRTF2_P_MVAR.e;MSCGA_138_CATR2.c;MSUSL_GE_TOT_MW.v;MSUSL_GE_TOT_MW.e;MSMIM_13P8_UG1_MVAR.v;MSMIM_13P8_UG1_MVAR.e;MSUTWA_13P2_UG5.c;;;;MSCGC_138_BABP_KV.v;MSCGC_138_BABP_KV.e;MSCGA_138_BAB1.c;ACO_S_CAGFLN_ILP.v;ACO_S_CAGFLN_ILP.e;RTN_FLN_DIN_ANA021.v;PRSCX_525_DJ007_S.s;RPDP.Geracao.AM.APARECIDA B1 6;RPDP.Carga.BAHIA PULP
MSANA_138_LTMSAQU_2_MW.v;MSANA_138_LTMSAQU_2_MW.e;MSCAO_138_LTMSGBU_1.c;MSANA_230_TRTF2_P_MW.v;MSANA_230_TRTF2_P_MW.e;MSCGB_138_CATR1.c;MSUTLG_GE_TOT_GDS.v;MSUTLG_GE_TOT_GDS.e;MSMIM_13P8_UG1_MW.v;MSMIM_13P8_UG1_MW.e;MSUTWA_13P8_UG1.c;;;;MSCGD_138_BABP_KV.v;MSCGD_138_BABP_KV.e;MSCGA_138_BAB2.c;ACO_S_CAGFLN_ILR.v;ACO_S_CAGFLN_ILR.e;RTN_FLN_DIN_ANA022.v;PRSCX_525_DJ014_S.s;RPDP.Geracao.AM.BALBINA;RPDP.Carga.BAND
MSANA_230_LTMSCOR2_1_AMP.v;MSANA_230_LTMSCOR2_1_AMP.e;MSCAO_230_LTGOJATT_1.c;MSAQU_138_CATR1_AMP.v;MSAQU_138_CATR1_AMP.e;MSCGB_138_CATR2.c;MSUTLG_GE_TOT_MVAR.v;MSUTLG_GE_TOT_MVAR.e;MSMIM_13P8_UG2_GDS.v;MSMIM_13P8_UG2_GDS.e;MSUTWA_13P8_UG2.c;;;;MSCGE_138_BA1_KV.v;MSCGE_138_BA1_KV.e;MSCGB_138_BA7B1.c;ACO_S_CAGFLN_RAMPA.v;ACO_S_CAGFLN_RAMPA.e;RTN_FLN_DIN_ANA023.v;PRSCX_525_DJ021_S.s;RPDP.Geracao.AM.DISTRITO A;RPDP.Carga.BAOE
MSANA_230_LTMSCOR2_1_KV.v;MSANA_230_LTMSCOR2_1_KV.e;MSCAO_230_LTGOJATT_2.c;MSAQU_138_CATR1_MVAR.v;MSAQU_138_CATR1_MVAR.e;MSCGC_138_CATR2.c;MSUTLG_GE_TOT_MW.v;MSUTLG_GE_TOT_MW.e;MSMIM_13P8_UG2_KV.v;MSMIM_13P8_UG2_KV.e;MSUTWA_13P8_UG3.c;;;;MSCGE_138_BA1_MW.v;MSCGE_138_BA1_MW.e;MSCGB_138_BA7B2.c;ACO_S_CJU_GOJAT_MVAR.v;ACO_S_CJU_GOJAT_MVAR.e;RTN_FLN_DIN_ANA024.v;PRSCX_525_DJ028_S.s;RPDP.Geracao.AM.DISTRITO B;RPDP.Carga.BASE
MSANA_230_LTMSCOR2_1_MVAR.v;MSANA_230_LTMSCOR2_1_MVAR.e;MSCAO_230_LTMSIMB_1.c;MSAQU_138_CATR1_MW.v;MSAQU_138_CATR1_MW.e;MSCGC_138_CATR3.c;MSUTOP_GE_TOT_GDS.v;MSUTOP_GE_TOT_GDS.e;MSMIM_13P8_UG2_MVA.v;MSMIM_13P8_UG2_MVA.e;MSUTWA_13P8_UG4.c;;;;MSCGE_138_BA2_KV.v;MSCGE_138_BA2_KV.e;MSCGC_138_BABP.c;ACO_S_CJU_GOJAT_MW.v;ACO_S_CJU_GOJAT_MW.e;RTN_FLN_DIN_ANA025.v;PRSCX_525_DJ042_S.s;RPDP.Geracao.AM.ELECTRON;RPDP.Carga.BERNECK
MSANA_230_LTMSCOR2_1_MW.v;MSANA_230_LTMSCOR2_1_MW.e;MSCAO_230_LTMSINO_1.c;MSAQU_138_CATR5_MVAR.v;MSAQU_138_CATR5_MVAR.e;MSCGD_138_CATR1.c;MSUTOP_GE_TOT_MVAR.v;MSUTOP_GE_TOT_MVAR.e;MSMIM_13P8_UG2_MVAR.v;MSMIM_13P8_UG2_MVAR.e;MSUTWI_13P2_UG5.c;;;;MSCGE_138_BA2_MW.v;MSCGE_138_BA2_MW.e;MSCGD_138_BABP.c;ACO_S_CJU_MSCIVI_MVAR.v;ACO_S_CJU_MSCIVI_MVAR.e;RTN_FLN_DIN_ANA026.v;PRSCX_525_DJ049_S.s;RPDP.Geracao.AM.FLORES 1;RPDP.Carga.BOA SORTE
MSANA_230_LTMSCOR2_2_AMP.v;MSANA_230_LTMSCOR2_2_AMP.e;MSCAO_230_LTMSINO_2.c;MSAQU_138_CATR5_MW.v;MSAQU_138_CATR5_MW.e;MSCGE_138_CATR1.c;MSUTOP_GE_TOT_MW.v;MSUTOP_GE_TOT_MW.e;MSMIM_13P8_UG2_MW.v;MSMIM_13P8_UG2_MW.e;MSUTWI_13P8_UG1.c;;;;MSCGI_138_BAB1_KV.v;MSCGI_138_BAB1_KV.e;MSCGE_138_BA1.c;ACO_S_CJU_MSCIVI_MW.v;ACO_S_CJU_MSCIVI_MW.e;RTN_FLN_DIN_ANA027.v;PRSCX_525_DJ35_S.s;RPDP.Geracao.AM.FLORES 2;RPDP.Carga.BOAVISTA
MSANA_230_LTMSCOR2_2_KV.v;MSANA_230_LTMSCOR2_2_KV.e;MSCAO_230_LTMSINO_3.c;MSATA_138_CATR1_MVAR.v;MSATA_138_CATR1_MVAR.e;MSCGE_138_CATR2.c;MSUTWA_GE_TOT_GDS.v;MSUTWA_GE_TOT_GDS.e;MSRBRT_13P8_UG1_GDS.v;MSRBRT_13P8_UG1_GDS.e;MSUTWI_13P8_UG2.c;;;;MSCGI_138_BAB2_KV.v;MSCGI_138_BAB2_KV.e;MSCGE_138_BA2.c;ACO_S_CJU_MSCRBR_MVAR.v;ACO_S_CJU_MSCRBR_MVAR.e;RTN_FLN_DIN_ANA028.v;PRSDI_138_DJ5217_S.s;RPDP.Geracao.AM.FLORES 3;RPDP.Carga.BONS VENTOS
MSANA_230_LTMSCOR2_2_MVAR.v;MSANA_230_LTMSCOR2_2_MVAR.e;MSCAO_230_LTMSPSO2_1.c;MSATA_138_CATR1_MW.v;MSATA_138_CATR1_MW.e;MSCGI_138_TR1.c;MSUTWA_GE_TOT_MVAR.v;MSUTWA_GE_TOT_MVAR.e;MSRBRT_13P8_UG1_KV.v;MSRBRT_13P8_UG1_KV.e;MSUTWI_13P8_UG3.c;;;;MSCGI_13P8_BAFI1_KV.v;MSCGI_13P8_BAFI1_KV.e;MSCGI_138_BAB1.c;ACO_S_CJU_MSCRBR_MW.v;ACO_S_CJU_MSCRBR_MW.e;RTN_FLN_DIN_ANA029.v;PRSDI_138_DJ52171_S.s;RPDP.Geracao.AM.FLORES 4;RPDP.Carga.BORBOREMA
MSANA_230_LTMSCOR2_2_MW.v;MSANA_230_LTMSCOR2_2_MW.e;MSCAO_230_LTMSPSO2_2.c;MSBAN_138_CATR2_MVAR.v;MSBAN_138_CATR2_MVAR.e;MSCGI_138_TR3.c;MSUTWA_GE_TOT_MW.v;MSUTWA_GE_TOT_MW.e;MSRBRT_13P8_UG2_GDS.v;MSRBRT_13P8_UG2_GDS.e;MSUTWI_13P8_UG4.c;;;;MSCGI_13P8_BAFI2_KV.v;MSCGI_13P8_BAFI2_KV.e;MSCGI_138_BAB2.c;ACO_S_CJU_PRKCL_MVAR.v;ACO_S_CJU_PRKCL_MVAR.e;RTN_FLN_DIN_ANA030.v;PRSDI_138_DJ5218_S.s;RPDP.Geracao.AM.IRANDUBA;RPDP.Carga.BRASCAN
MSANA_230_LTMSDOU_1_AMP.v;MSANA_230_LTMSDOU_1_AMP.e;MSCAS_138_LTMSPAR_1.c;MSBAN_138_CATR2_MW.v;MSBAN_138_CATR2_MW.e;MSCGJ_138_CATR1.c;MSUTWI_GE_TOT_GDS.v;MSUTWI_GE_TOT_GDS.e;MSRBRT_13P8_UG2_KV.v;MSRBRT_13P8_UG2_KV.e;MSVIAL_13P8_UG1.c;;;;MSCGJ_138_BABP_KV.v;MSCGJ_138_BABP_KV.e;MSCGI_13P8_BAFI1.c;ACO_S_CJU_PRKCL_MW.v;ACO_S_CJU_PRKCL_MW.e;RTN_FLN_DIN_ANA031.v;PRSDI_138_DJ5219_S.s;RPDP.Geracao.AM.MAUA 1;RPDP.Carga.BRASIL PCH N
MSANA_230_LTMSDOU_1_KV.v;MSANA_230_LTMSDOU_1_KV.e;MSCER_138_LTMSDOD_1.c;MSBAV_138_CATR1_MVAR.v;MSBAV_138_CATR1_MVAR.e;MSCGL_138_CATR1.c;MSUTWI_GE_TOT_MVAR.v;MSUTWI_GE_TOT_MVAR.e;MSUAMA_13P8_UG1_GDS.v;MSUAMA_13P8_UG1_GDS.e;MSVIAL_13P8_UG2.c;;;;MSCGL_138_BAB1_KV.v;MSCGL_138_BAB1_KV.e;MSCGI_13P8_BAFI2.c;ACO_S_CJU_RSACA_GDS.v;ACO_S_CJU_RSACA_GDS.e;RTN_FLN_DIN_ANA032.v;PRSDI_138_DJ5221_S.s;RPDP.Geracao.AM.MAUA 3;RPDP.Carga.BRASIL PCH SE
