VERIFICADO LT;ESTIMADO LT;CONFIGURADOR LT;VERIFICADO TR;ESTIMADO TR;CONFIGURADOR TR;VERIFICADO USINA;ESTIMADO USINA;VERIFICADO UG;ESTIMADO UG;CONFIGURADOR UG;VERIFICADO COMP;ESTIMADO COMP;CONFIGURADOR COMP;VERIFICADO BARRA;ESTIMADO BARRA;CONFIGURADOR BARRA;VERIFICADO UFE;ESTIMADO UFE;VERIFICADO CALC;DIGITAIS;PDP USINA;PDP CARGA
RSCAX_230_LTRSCBO_1_MW.v;RSCAX_230_LTRSCBO_1_MW.e;;RSCHA_34P5_TR9_S_AMP.v;RSCHA_34P5_TR9_S_AMP.e;;;;;;;;;;;;;;;;RSCAX5_230_CH8916_S.s;;
RSCAX_230_LTRSCBO_2_AMP.v;RSCAX_230_LTRSCBO_2_AMP.e;;RSCHA_34P5_TR9_S_MVAR.v;RSCHA_34P5_TR9_S_MVAR.e;;;;;;;;;;;;;;;;RSCAX5_230_CHFCCNE_S.s;;
RSCAX_230_LTRSCBO_2_KV.v;RSCAX_230_LTRSCBO_2_KV.e;;RSCHA_34P5_TR9_S_MW.v;RSCHA_34P5_TR9_S_MW.e;;;;;;;;;;;;;;;;RSCAX5_230_CHFCFAR_S.s;;
RSCAX_230_LTRSCBO_2_MVAR.v;RSCAX_230_LTRSCBO_2_MVAR.e;;RSCHA_69P0_CARSTRI_1_MVAR.v;RSCHA_69P0_CARSTRI_1_MVAR.e;;;;;;;;;;;;;;;;RSCAX5_69P0_CH431_S.s;;
RSCAX_230_LTRSCBO_2_MW.v;RSCAX_230_LTRSCBO_2_MW.e;;RSCHA_69P0_CARSTRI_1_MW.v;RSCHA_69P0_CARSTRI_1_MW.e;;;;;;;;;;;;;;;;RSCAX5_69P0_CH433_S.s;;
RSCAX_230_LTRSFAR_1_AMP.v;RSCAX_230_LTRSFAR_1_AMP.e;;RSCHA_69P0_LTRSAFP_1_AMP.v;RSCHA_69P0_LTRSAFP_1_AMP.e;;;;;;;;;;;;;;;;RSCAX5_69P0_CH435_S.s;;
RSCAX_230_LTRSFAR_1_KV.v;RSCAX_230_LTRSFAR_1_KV.e;;RSCHA_69P0_LTRSAFP_1_KV.v;RSCHA_69P0_LTRSAFP_1_KV.e;;;;;;;;;;;;;;;;RSCAX5_69P0_CH441_S.s;;
RSCAX_230_LTRSFAR_1_MVAR.v;RSCAX_230_LTRSFAR_1_MVAR.e;;RSCHA_69P0_LTRSAFP_1_MVAR.v;RSCHA_69P0_LTRSAFP_1_MVAR.e;;;;;;;;;;;;;;;;RSCAX5_69P0_CH443_S.s;;
RSCAX_230_LTRSFAR_1_MW.v;RSCAX_230_LTRSFAR_1_MW.e;;RSCHA_69P0_LTRSAFP_1_MW.v;RSCHA_69P0_LTRSAFP_1_MW.e;;;;;;;;;;;;;;;;RSCAX5_69P0_CH445_S.s;;
RSCAX_230_LTRSFAR_2_AMP.v;RSCAX_230_LTRSFAR_2_AMP.e;;RSCHA_69P0_LTRSAFP_2_AMP.v;RSCHA_69P0_LTRSAFP_2_AMP.e;;;;;;;;;;;;;;;;RSCAX5_69P0_CH451_S.s;;
RSCAX_230_LTRSFAR_2_KV.v;RSCAX_230_LTRSFAR_2_KV.e;;RSCHA_69P0_LTRSAFP_2_KV.v;RSCHA_69P0_LTRSAFP_2_KV.e;;;;;;;;;;;;;;;;RSCAX5_69P0_CH453_S.s;;
RSCAX_230_LTRSFAR_2_MVAR.v;RSCAX_230_LTRSFAR_2_MVAR.e;;RSCHA_69P0_LTRSAFP_2_MVAR.v;RSCHA_69P0_LTRSAFP_2_MVAR.e;;;;;;;;;;;;;;;;RSCAX5_69P0_CH455_S.s;;
RSCAX_230_LTRSFAR_2_MW.v;RSCAX_230_LTRSFAR_2_MW.e;;RSCHA_69P0_LTRSAFP_2_MW.v;RSCHA_69P0_LTRSAFP_2_MW.e;;;;;;;;;;;;;;;;RSCAX5_69P0_CH461_S.s;;
RSCAX_230_LTRSNPE2_1_AMP.v;RSCAX_230_LTRSNPE2_1_AMP.e;;RSCHA_69P0_LTRSCHA2_1_AMP.v;RSCHA_69P0_LTRSCHA2_1_AMP.e;;;;;;;;;;;;;;;;RSCAX5_69P0_CH463_S.s;;
RSCAX_230_LTRSNPE2_1_KV.v;RSCAX_230_LTRSNPE2_1_KV.e;;RSCHA_69P0_LTRSCHA2_1_KV.v;RSCHA_69P0_LTRSCHA2_1_KV.e;;;;;;;;;;;;;;;;RSCAX5_69P0_CH465_S.s;;
RSCAX_230_LTRSNPE2_1_MVAR.v;RSCAX_230_LTRSNPE2_1_MVAR.e;;RSCHA_69P0_LTRSCHA2_1_MVAR.v;RSCHA_69P0_LTRSCHA2_1_MVAR.e;;;;;;;;;;;;;;;;RSCAX5_69P0_CH471_S.s;;
RSCAX_230_LTRSNPE2_1_MW.v;RSCAX_230_LTRSNPE2_1_MW.e;;RSCHA_69P0_LTRSCHA2_1_MW.v;RSCHA_69P0_LTRSCHA2_1_MW.e;;;;;;;;;;;;;;;;RSCAX5_69P0_CH473_S.s;;
RSCAX_525_LTRSCNE_1_AMP.v;RSCAX_525_LTRSCNE_1_AMP.e;;RSCHA_69P0_LTRSTQR_1_AMP.v;RSCHA_69P0_LTRSTQR_1_AMP.e;;;;;;;;;;;;;;;;RSCAX6_230_CH721_S.s;;
RSCAX_525_LTRSCNE_1_KV.v;RSCAX_525_LTRSCNE_1_KV.e;;RSCHA_69P0_LTRSTQR_1_KV.v;RSCHA_69P0_LTRSTQR_1_KV.e;;;;;;;;;;;;;;;;RSCAX6_230_CH723_S.s;;
RSCAX_525_LTRSCNE_1_MVAR.v;RSCAX_525_LTRSCNE_1_MVAR.e;;RSCHA_69P0_LTRSTQR_1_MVAR.v;RSCHA_69P0_LTRSTQR_1_MVAR.e;;;;;;;;;;;;;;;;RSCAX6_230_CH725_S.s;;
RSCAX_525_LTRSCNE_1_MW.v;RSCAX_525_LTRSCNE_1_MW.e;;RSCHA_69P0_LTRSTQR_1_MW.v;RSCHA_69P0_LTRSTQR_1_MW.e;;;;;;;;;;;;;;;;RSCAX6_230_CH727_S.s;;
RSCAX_525_LTRSCNE_2_AMP.v;RSCAX_525_LTRSCNE_2_AMP.e;;RSCHA_69P0_LTRSTRI_1_MVAR.v;RSCHA_69P0_LTRSTRI_1_MVAR.e;;;;;;;;;;;;;;;;RSCAX6_230_CH741_S.s;;
RSCAX_525_LTRSCNE_2_KV.v;RSCAX_525_LTRSCNE_2_KV.e;;RSCHA_69P0_LTRSTRI_1_MW.v;RSCHA_69P0_LTRSTRI_1_MW.e;;;;;;;;;;;;;;;;RSCAX6_230_CH743_S.s;;
RSCAX_525_LTRSCNE_2_MVAR.v;RSCAX_525_LTRSCNE_2_MVAR.e;;RSCHA_69P0_LTRSUSJE_1_AMP.v;RSCHA_69P0_LTRSUSJE_1_AMP.e;;;;;;;;;;;;;;;;RSCAX6_230_CH745_S.s;;
RSCAX_525_LTRSCNE_2_MW.v;RSCAX_525_LTRSCNE_2_MW.e;;RSCHA_69P0_LTRSUSJE_1_KV.v;RSCHA_69P0_LTRSUSJE_1_KV.e;;;;;;;;;;;;;;;;RSCAX6_230_CH747_S.s;;
RSCAX_525_LTRSGRA_1_AMP.v;RSCAX_525_LTRSGRA_1_AMP.e;;RSCHA_69P0_LTRSUSJE_1_MVAR.v;RSCHA_69P0_LTRSUSJE_1_MVAR.e;;;;;;;;;;;;;;;;RSCAX6_230_CH751_S.s;;
RSCAX_525_LTRSGRA_1_KV.v;RSCAX_525_LTRSGRA_1_KV.e;;RSCHA_69P0_LTRSUSJE_1_MW.v;RSCHA_69P0_LTRSUSJE_1_MW.e;;;;;;;;;;;;;;;;RSCAX6_230_CH753_S.s;;
RSCAX_525_LTRSGRA_1_MVAR.v;RSCAX_525_LTRSGRA_1_MVAR.e;;RSCHA_69P0_LTRSUTCH_2_AMP.v;RSCHA_69P0_LTRSUTCH_2_AMP.e;;;;;;;;;;;;;;;;RSCAX6_230_CH755_S.s;;
RSCAX_525_LTRSGRA_1_MW.v;RSCAX_525_LTRSGRA_1_MW.e;;RSCHA_69P0_LTRSUTCH_2_KV.v;RSCHA_69P0_LTRSUTCH_2_KV.e;;;;;;;;;;;;;;;;RSCAX6_230_CH757_S.s;;
RSCAX_525_LTSCCNO_1_AMP.v;RSCAX_525_LTSCCNO_1_AMP.e;;RSCHA_69P0_LTRSUTCH_2_MVAR.v;RSCHA_69P0_LTRSUTCH_2_MVAR.e;;;;;;;;;;;;;;;;RSCAX6_230_CH761_S.s;;
RSCAX_525_LTSCCNO_1_KV.v;RSCAX_525_LTSCCNO_1_KV.e;;RSCHA_69P0_LTRSUTCH_2_MW.v;RSCHA_69P0_LTRSUTCH_2_MW.e;;;;;;;;;;;;;;;;RSCAX6_230_CH763_S.s;;
RSCAX_525_LTSCCNO_1_MVAR.v;RSCAX_525_LTSCCNO_1_MVAR.e;;RSCHA_69P0_LTRSUTCH_3_AMP.v;RSCHA_69P0_LTRSUTCH_3_AMP.e;;;;;;;;;;;;;;;;RSCAX6_230_CH8910_S.s;;
RSCAX_525_LTSCCNO_1_MW.v;RSCAX_525_LTSCCNO_1_MW.e;;RSCHA_69P0_LTRSUTCH_3_KV.v;RSCHA_69P0_LTRSUTCH_3_KV.e;;;;;;;;;;;;;;;;RSCAX6_230_CH8912_S.s;;
RSCAX_525_LTSCYTA_1_AMP.v;RSCAX_525_LTSCYTA_1_AMP.e;;RSCHA_69P0_LTRSUTCH_3_MVAR.v;RSCHA_69P0_LTRSUTCH_3_MVAR.e;;;;;;;;;;;;;;;;RSCAX6_230_CH8914_S.s;;
RSCAX_525_LTSCYTA_1_KV.v;RSCAX_525_LTSCYTA_1_KV.e;;RSCHA_69P0_LTRSUTCH_3_MW.v;RSCHA_69P0_LTRSUTCH_3_MW.e;;;;;;;;;;;;;;;;RSCAX6_230_CH8916_S.s;;
RSCAX_525_LTSCYTA_1_MVAR.v;RSCAX_525_LTSCYTA_1_MVAR.e;;RSCHA_69P0_TR5_S_AMP.v;RSCHA_69P0_TR5_S_AMP.e;;;;;;;;;;;;;;;;RSCAX6_230_CH892_S.s;;
RSCAX_525_LTSCYTA_1_MW.v;RSCAX_525_LTSCYTA_1_MW.e;;RSCHA_69P0_TR5_S_KV.v;RSCHA_69P0_TR5_S_KV.e;;;;;;;;;;;;;;;;RSCAX6_230_CH894_S.s;;
RSCAX2_230_LTRSCTT_1_AMP.v;RSCAX2_230_LTRSCTT_1_AMP.e;;RSCHA_69P0_TR5_S_MVAR.v;RSCHA_69P0_TR5_S_MVAR.e;;;;;;;;;;;;;;;;RSCAX6_230_CH896_S.s;;
RSCAX2_230_LTRSCTT_1_KV.v;RSCAX2_230_LTRSCTT_1_KV.e;;RSCHA_69P0_TR5_S_MW.v;RSCHA_69P0_TR5_S_MW.e;;;;;;;;;;;;;;;;RSCAX6_230_CH898_S.s;;
RSCAX2_230_LTRSCTT_1_MVAR.v;RSCAX2_230_LTRSCTT_1_MVAR.e;;RSCHA_69P0_TR6_S_AMP.v;RSCHA_69P0_TR6_S_AMP.e;;;;;;;;;;;;;;;;RSCAX6_69P0_CH351_S.s;;
RSCAX2_230_LTRSCTT_1_MW.v;RSCAX2_230_LTRSCTT_1_MW.e;;RSCHA_69P0_TR6_S_KV.v;RSCHA_69P0_TR6_S_KV.e;;;;;;;;;;;;;;;;RSCAX6_69P0_CH353_S.s;;
RSCAX2_230_LTRSFAR_1_AMP.v;RSCAX2_230_LTRSFAR_1_AMP.e;;RSCHA_69P0_TR6_S_MVAR.v;RSCHA_69P0_TR6_S_MVAR.e;;;;;;;;;;;;;;;;RSCAX6_69P0_CH355_S.s;;
RSCAX2_230_LTRSFAR_1_KV.v;RSCAX2_230_LTRSFAR_1_KV.e;;RSCHA_69P0_TR6_S_MW.v;RSCHA_69P0_TR6_S_MW.e;;;;;;;;;;;;;;;;RSCAX6_69P0_CH361_S.s;;
RSCAX2_230_LTRSFAR_1_MVAR.v;RSCAX2_230_LTRSFAR_1_MVAR.e;;RSCHA2_69P0_LTRSCHA_1_MVAR.v;RSCHA2_69P0_LTRSCHA_1_MVAR.e;;;;;;;;;;;;;;;;RSCAX6_69P0_CH363_S.s;;
RSCAX2_230_LTRSFAR_1_MW.v;RSCAX2_230_LTRSFAR_1_MW.e;;RSCHA2_69P0_LTRSCHA_1_MW.v;RSCHA2_69P0_LTRSCHA_1_MW.e;;;;;;;;;;;;;;;;RSCAX6_69P0_CH365_S.s;;
RSCAX2_69P0_LTRSCAX5_1_MVAR.v;RSCAX2_69P0_LTRSCAX5_1_MVAR.e;;RSCHA3_230_LTRSCHA_1_AMP.v;RSCHA3_230_LTRSCHA_1_AMP.e;;;;;;;;;;;;;;;;RSCAX6_69P0_CH371_S.s;;
RSCAX2_69P0_LTRSCAX5_1_MW.v;RSCAX2_69P0_LTRSCAX5_1_MW.e;;RSCHA3_230_LTRSCHA_1_KV.v;RSCHA3_230_LTRSCHA_1_KV.e;;;;;;;;;;;;;;;;RSCAX6_69P0_CH373_S.s;;
RSCAX5_230_LTRSCAX_1_AMP.v;RSCAX5_230_LTRSCAX_1_AMP.e;;RSCHA3_230_LTRSCHA_1_MVAR.v;RSCHA3_230_LTRSCHA_1_MVAR.e;;;;;;;;;;;;;;;;RSCAX6_69P0_CH375_S.s;;
RSCAX5_230_LTRSCAX_1_KV.v;RSCAX5_230_LTRSCAX_1_KV.e;;RSCHA3_230_LTRSCHA_1_MW.v;RSCHA3_230_LTRSCHA_1_MW.e;;;;;;;;;;;;;;;;RSCAX6_69P0_CH381_S.s;;
RSCAX5_230_LTRSCAX_1_MVAR.v;RSCAX5_230_LTRSCAX_1_MVAR.e;;RSCHA3_230_LTRSCHA_2_AMP.v;RSCHA3_230_LTRSCHA_2_AMP.e;;;;;;;;;;;;;;;;RSCAX6_69P0_CH383_S.s;;
RSCAX5_230_LTRSCAX_1_MW.v;RSCAX5_230_LTRSCAX_1_MW.e;;RSCHA3_230_LTRSCHA_2_KV.v;RSCHA3_230_LTRSCHA_2_KV.e;;;;;;;;;;;;;;;;RSCAX6_69P0_CH385_S.s;;
RSCAX5_230_LTRSCNE_1_AMP.v;RSCAX5_230_LTRSCNE_1_AMP.e;;RSCHA3_230_LTRSCHA_2_MVAR.v;RSCHA3_230_LTRSCHA_2_MVAR.e;;;;;;;;;;;;;;;;RSCAX6_69P0_CH391_S.s;;
RSCAX5_230_LTRSCNE_1_KV.v;RSCAX5_230_LTRSCNE_1_KV.e;;RSCHA3_230_LTRSCHA_2_MW.v;RSCHA3_230_LTRSCHA_2_MW.e;;;;;;;;;;;;;;;;RSCAX6_69P0_CH393_S.s;;
RSCAX5_230_LTRSCNE_1_MVAR.v;RSCAX5_230_LTRSCNE_1_MVAR.e;;RSCHA3_230_LTRSCIN_1_AMP.v;RSCHA3_230_LTRSCIN_1_AMP.e;;;;;;;;;;;;;;;;RSCAX6_69P0_CH401_S.s;;
RSCAX5_230_LTRSCNE_1_MW.v;RSCAX5_230_LTRSCNE_1_MW.e;;RSCHA3_230_LTRSCIN_1_KV.v;RSCHA3_230_LTRSCIN_1_KV.e;;;;;;;;;;;;;;;;RSCAX6_69P0_CH403_S.s;;
RSCAX5_230_LTRSFAR_1_AMP.v;RSCAX5_230_LTRSFAR_1_AMP.e;;RSCHA3_230_LTRSCIN_1_MVAR.v;RSCHA3_230_LTRSCIN_1_MVAR.e;;;;;;;;;;;;;;;;RSCAX6_69P0_CH405_S.s;;
RSCAX5_230_LTRSFAR_1_KV.v;RSCAX5_230_LTRSFAR_1_KV.e;;RSCHA3_230_LTRSCIN_1_MW.v;RSCHA3_230_LTRSCIN_1_MW.e;;;;;;;;;;;;;;;;RSCAX6_69P0_CH411_S.s;;
RSCAX5_230_LTRSFAR_1_MVAR.v;RSCAX5_230_LTRSFAR_1_MVAR.e;;RSCHA3_230_LTRSGUA3_1_AMP.v;RSCHA3_230_LTRSGUA3_1_AMP.e;;;;;;;;;;;;;;;;RSCAX6_69P0_CH413_S.s;;
RSCAX5_230_LTRSFAR_1_MW.v;RSCAX5_230_LTRSFAR_1_MW.e;;RSCHA3_230_LTRSGUA3_1_KV.v;RSCHA3_230_LTRSGUA3_1_KV.e;;;;;;;;;;;;;;;;RSCAX6_69P0_CH415_S.s;;
RSCAX5_230_LTRSLGR_1_AMP.v;RSCAX5_230_LTRSLGR_1_AMP.e;;RSCHA3_230_LTRSGUA3_1_MVAR.v;RSCHA3_230_LTRSGUA3_1_MVAR.e;;;;;;;;;;;;;;;;RSCAX_230_CH781_S.s;;
RSCAX5_230_LTRSLGR_1_KV.v;RSCAX5_230_LTRSLGR_1_KV.e;;RSCHA3_230_LTRSGUA3_1_MW.v;RSCHA3_230_LTRSGUA3_1_MW.e;;;;;;;;;;;;;;;;RSCAX_230_CH783_S.s;;
RSCAX5_230_LTRSLGR_1_MVAR.v;RSCAX5_230_LTRSLGR_1_MVAR.e;;RSCHA3_230_LTRSSCR1_1_AMP.v;RSCHA3_230_LTRSSCR1_1_AMP.e;;;;;;;;;;;;;;;;RSCAX_230_CH785_S.s;;
RSCAX5_230_LTRSLGR_1_MW.v;RSCAX5_230_LTRSLGR_1_MW.e;;RSCHA3_230_LTRSSCR1_1_KV.v;RSCHA3_230_LTRSSCR1_1_KV.e;;;;;;;;;;;;;;;;RSCAX_230_CH787_S.s;;
RSCAX5_69P0_LTRSCAX2_1_MVAR.v;RSCAX5_69P0_LTRSCAX2_1_MVAR.e;;RSCHA3_230_LTRSSCR1_1_MVAR.v;RSCHA3_230_LTRSSCR1_1_MVAR.e;;;;;;;;;;;;;;;;RSCAX_230_CH791_S.s;;
RSCAX5_69P0_LTRSCAX2_1_MW.v;RSCAX5_69P0_LTRSCAX2_1_MW.e;;RSCHA3_230_LTRSSCR1_1_MW.v;RSCHA3_230_LTRSSCR1_1_MW.e;;;;;;;;;;;;;;;;RSCAX_230_CH793_S.s;;
RSCAX6_230_LTRSCAX_1_AMP.v;RSCAX6_230_LTRSCAX_1_AMP.e;;RSCHA3_230_TR1_P_AMP.v;RSCHA3_230_TR1_P_AMP.e;;;;;;;;;;;;;;;;RSCAX_230_CH795_S.s;;
RSCAX6_230_LTRSCAX_1_KV.v;RSCAX6_230_LTRSCAX_1_KV.e;;RSCHA3_230_TR1_P_KV.v;RSCHA3_230_TR1_P_KV.e;;;;;;;;;;;;;;;;RSCAX_230_CH797_S.s;;
RSCAX6_230_LTRSCAX_1_MVAR.v;RSCAX6_230_LTRSCAX_1_MVAR.e;;RSCHA3_230_TR1_P_MVAR.v;RSCHA3_230_TR1_P_MVAR.e;;;;;;;;;;;;;;;;RSCAX_230_CH801_S.s;;
RSCAX6_230_LTRSCAX_1_MW.v;RSCAX6_230_LTRSCAX_1_MW.e;;RSCHA3_230_TR1_P_MW.v;RSCHA3_230_TR1_P_MW.e;;;;;;;;;;;;;;;;RSCAX_230_CH803_S.s;;
RSCAX6_230_LTRSCNE_1_AMP.v;RSCAX6_230_LTRSCNE_1_AMP.e;;RSCHA3_230_TR1_P_TAP.v;RSCHA3_230_TR1_P_TAP.e;;;;;;;;;;;;;;;;RSCAX_230_CH811_S.s;;
RSCAX6_230_LTRSCNE_1_KV.v;RSCAX6_230_LTRSCNE_1_KV.e;;RSCHA3_230_TR2_P_AMP.v;RSCHA3_230_TR2_P_AMP.e;;;;;;;;;;;;;;;;RSCAX_230_CH813_S.s;;
RSCAX6_230_LTRSCNE_1_MVAR.v;RSCAX6_230_LTRSCNE_1_MVAR.e;;RSCHA3_230_TR2_P_KV.v;RSCHA3_230_TR2_P_KV.e;;;;;;;;;;;;;;;;RSCAX_230_CH815_S.s;;
RSCAX6_230_LTRSCNE_1_MW.v;RSCAX6_230_LTRSCNE_1_MW.e;;RSCHA3_230_TR2_P_MVAR.v;RSCHA3_230_TR2_P_MVAR.e;;;;;;;;;;;;;;;;RSCAX_230_CH817_S.s;;
RSCAX6_230_LTRSCTT_1_AMP.v;RSCAX6_230_LTRSCTT_1_AMP.e;;RSCHA3_230_TR2_P_MW.v;RSCHA3_230_TR2_P_MW.e;;;;;;;;;;;;;;;;RSCAX_230_CH831_S.s;;
RSCAX6_230_LTRSCTT_1_KV.v;RSCAX6_230_LTRSCTT_1_KV.e;;RSCHA3_230_TR2_P_TAP.v;RSCHA3_230_TR2_P_TAP.e;;;;;;;;;;;;;;;;RSCAX_230_CH833_S.s;;
RSCAX6_230_LTRSCTT_1_MVAR.v;RSCAX6_230_LTRSCTT_1_MVAR.e;;RSCHA3_69P0_CARSTRI_1_MVAR.v;RSCHA3_69P0_CARSTRI_1_MVAR.e;;;;;;;;;;;;;;;;RSCAX_230_CH835_S.s;;
RSCAX6_230_LTRSCTT_1_MW.v;RSCAX6_230_LTRSCTT_1_MW.e;;RSCHA3_69P0_CARSTRI_1_MW.v;RSCHA3_69P0_CARSTRI_1_MW.e;;;;;;;;;;;;;;;;RSCAX_230_CH837_S.s;;
RSCBO_230_LTRSCAX_1_AMP.v;RSCBO_230_LTRSCAX_1_AMP.e;;RSCHA3_69P0_LTRSGUA2_1_MVAR.v;RSCHA3_69P0_LTRSGUA2_1_MVAR.e;;;;;;;;;;;;;;;;RSCAX_230_CHFCBO1_S.s;;
RSCBO_230_LTRSCAX_1_KV.v;RSCBO_230_LTRSCAX_1_KV.e;;RSCHA3_69P0_LTRSGUA2_1_MW.v;RSCHA3_69P0_LTRSGUA2_1_MW.e;;;;;;;;;;;;;;;;RSCAX_230_CHFCBO2_S.s;;
RSCBO_230_LTRSCAX_1_MVAR.v;RSCBO_230_LTRSCAX_1_MVAR.e;;RSCHA3_69P0_TR1_S_AMP.v;RSCHA3_69P0_TR1_S_AMP.e;;;;;;;;;;;;;;;;RSCAX_525_CH1005_S.s;;
RSCBO_230_LTRSCAX_1_MW.v;RSCBO_230_LTRSCAX_1_MW.e;;RSCHA3_69P0_TR1_S_KV.v;RSCHA3_69P0_TR1_S_KV.e;;;;;;;;;;;;;;;;RSCAX_525_CH1011_S.s;;
RSCBO_230_LTRSCAX_2_AMP.v;RSCBO_230_LTRSCAX_2_AMP.e;;RSCHA3_69P0_TR1_S_MVAR.v;RSCHA3_69P0_TR1_S_MVAR.e;;;;;;;;;;;;;;;;RSCAX_525_CH1013_S.s;;
RSCBO_230_LTRSCAX_2_KV.v;RSCBO_230_LTRSCAX_2_KV.e;;RSCHA3_69P0_TR1_S_MW.v;RSCHA3_69P0_TR1_S_MW.e;;;;;;;;;;;;;;;;RSCAX_525_CH1015_S.s;;
RSCBO_230_LTRSCAX_2_MVAR.v;RSCBO_230_LTRSCAX_2_MVAR.e;;RSCHA3_69P0_TR2_S_AMP.v;RSCHA3_69P0_TR2_S_AMP.e;;;;;;;;;;;;;;;;RSCAX_525_CH1017_S.s;;
RSCBO_230_LTRSCAX_2_MW.v;RSCBO_230_LTRSCAX_2_MW.e;;RSCHA3_69P0_TR2_S_KV.v;RSCHA3_69P0_TR2_S_KV.e;;;;;;;;;;;;;;;;RSCAX_525_CH1021_S.s;;
RSCBO_230_LTRSGRA2_1_AMP.v;RSCBO_230_LTRSGRA2_1_AMP.e;;RSCHA3_69P0_TR2_S_MVAR.v;RSCHA3_69P0_TR2_S_MVAR.e;;;;;;;;;;;;;;;;RSCAX_525_CH1023_S.s;;
RSCBO_230_LTRSGRA2_1_KV.v;RSCBO_230_LTRSGRA2_1_KV.e;;RSCHA3_69P0_TR2_S_MW.v;RSCHA3_69P0_TR2_S_MW.e;;;;;;;;;;;;;;;;RSCAX_525_CH1025_S.s;;
RSCBO_230_LTRSGRA2_1_MVAR.v;RSCBO_230_LTRSGRA2_1_MVAR.e;;RSCHU_138_LTRSSPA2_1_MVAR.v;RSCHU_138_LTRSSPA2_1_MVAR.e;;;;;;;;;;;;;;;;RSCAX_525_CH1027_S.s;;
RSCBO_230_LTRSGRA2_1_MW.v;RSCBO_230_LTRSGRA2_1_MW.e;;RSCHU_138_LTRSSPA2_1_MW.v;RSCHU_138_LTRSSPA2_1_MW.e;;;;;;;;;;;;;;;;RSCAX_525_CH1031_S.s;;
RSCBO_230_LTRSGRA2_2_AMP.v;RSCBO_230_LTRSGRA2_2_AMP.e;;RSCHU_138_TR1_P_MVAR.v;RSCHU_138_TR1_P_MVAR.e;;;;;;;;;;;;;;;;RSCAX_525_CH1033_S.s;;
RSCBO_230_LTRSGRA2_2_KV.v;RSCBO_230_LTRSGRA2_2_KV.e;;RSCHU_138_TR1_P_MW.v;RSCHU_138_TR1_P_MW.e;;;;;;;;;;;;;;;;RSCAX_525_CH1035_S.s;;
RSCBO_230_LTRSGRA2_2_MVAR.v;RSCBO_230_LTRSGRA2_2_MVAR.e;;RSCHU_34P5_LTRSCH01_1_MVAR.v;RSCHU_34P5_LTRSCH01_1_MVAR.e;;;;;;;;;;;;;;;;RSCAX_525_CH1037_S.s;;
RSCBO_230_LTRSGRA2_2_MW.v;RSCBO_230_LTRSGRA2_2_MW.e;;RSCHU_34P5_LTRSCH01_1_MW.v;RSCHU_34P5_LTRSCH01_1_MW.e;;;;;;;;;;;;;;;;RSCAX_525_CH1041_S.s;;
RSCBO_230_LTRSTAQ_1_AMP.v;RSCBO_230_LTRSTAQ_1_AMP.e;;RSCHU_34P5_LTRSCH02_1_MVAR.v;RSCHU_34P5_LTRSCH02_1_MVAR.e;;;;;;;;;;;;;;;;RSCAX_525_CH1043_S.s;;
RSCBO_230_LTRSTAQ_1_KV.v;RSCBO_230_LTRSTAQ_1_KV.e;;RSCHU_34P5_LTRSCH02_1_MW.v;RSCHU_34P5_LTRSCH02_1_MW.e;;;;;;;;;;;;;;;;RSCAX_525_CH1045_S.s;;
RSCBO_230_LTRSTAQ_1_MVAR.v;RSCBO_230_LTRSTAQ_1_MVAR.e;;RSCHU_34P5_LTRSCH04_1_MVAR.v;RSCHU_34P5_LTRSCH04_1_MVAR.e;;;;;;;;;;;;;;;;RSCAX_525_CH1047_S.s;;
RSCBO_230_LTRSTAQ_1_MW.v;RSCBO_230_LTRSTAQ_1_MW.e;;RSCHU_34P5_LTRSCH04_1_MW.v;RSCHU_34P5_LTRSCH04_1_MW.e;;;;;;;;;;;;;;;;RSCAX_525_CH1051_S.s;;
RSCCH_230_LTRSLIV2_1_AMP.v;RSCCH_230_LTRSLIV2_1_AMP.e;;RSCHU_34P5_LTRSCH05_1_MVAR.v;RSCHU_34P5_LTRSCH05_1_MVAR.e;;;;;;;;;;;;;;;;RSCAX_525_CH1053_S.s;;
RSCCH_230_LTRSLIV2_1_KV.v;RSCCH_230_LTRSLIV2_1_KV.e;;RSCHU_34P5_LTRSCH05_1_MW.v;RSCHU_34P5_LTRSCH05_1_MW.e;;;;;;;;;;;;;;;;RSCAX_525_CH1055_S.s;;
RSCCH_230_LTRSLIV2_1_MVAR.v;RSCCH_230_LTRSLIV2_1_MVAR.e;;RSCHU_34P5_LTRSCH09_1_MVAR.v;RSCHU_34P5_LTRSCH09_1_MVAR.e;;;;;;;;;;;;;;;;RSCAX_525_CH1057_S.s;;
RSCCH_230_LTRSLIV2_1_MW.v;RSCCH_230_LTRSLIV2_1_MW.e;;RSCHU_34P5_LTRSCH09_1_MW.v;RSCHU_34P5_LTRSCH09_1_MW.e;;;;;;;;;;;;;;;;RSCAX_525_CH1061_S.s;;
RSCCH_230_LTRSLIV3_1_AMP.v;RSCCH_230_LTRSLIV3_1_AMP.e;;RSCHU_34P5_LTRSMN01_1_MVAR.v;RSCHU_34P5_LTRSMN01_1_MVAR.e;;;;;;;;;;;;;;;;RSCAX_525_CH1063_S.s;;
