Analógico;Digital;Configurador;ACO;ARE;CALC;PDP;SIS;SME;UFE
ACO_NE_CJU_BAARA_GDS.v;ACCS_230_CHSC22_S.s;APFGO_230_BABT.c;ACO_NE_CJU_BA5EIGT_MW.v;ARE_2MS_SA_GO_GE_T2B_MW.v;RTN_BSB_DIN_ANA031.v;RPDP.Geracao.AM.MAUA 4;SIS_BR_CALC_PI_ANA1_MW_3.v;SME_NE_BA_AF_ELEV_GERAC_PATAMAR_1H30M.v;UFE_AM_CA_TOT_MW.v
ACO_NE_CJU_BAARA_MVAR.v;ACCS_230_CHSC23_S.s;APLRJ_230_BA1.c;ACO_NE_CJU_BAABD_GDS.v;ARE_2MS_SA_GO_GE_T3_MW.v;RTN_BSB_DIN_ANA032.v;RPDP.Geracao.AM.MAUA 5A;SIS_BR_CALC_PI_ANA1_MW_4.v;SME_NE_BA_AF_ELEV_GERAC_PROX_PATAMAR.v;UFE_AM_DM_MANAUS_MW.v
ACO_NE_CJU_BAARA_MW.v;ACCS_230_CHSC24_S.s;APLRJ_230_BA2.c;ACO_NE_CJU_BAABD_MVAR.v;ARE_2MS_SA_MS_CA_CRB_MW.v;RTN_BSB_DIN_ANA033.v;RPDP.Geracao.AM.MAUA 5B;SIS_BR_CALC_PI_ANA1_MW_5.v;SME_NE_BA_AF_FPM.v;UFE_AM_FJTMT_MW.v
ACO_NE_CJU_BAARI_GDS.v;ACCS_230_CHSC26_S.s;APLRJ_69P0_BAP.c;ACO_NE_CJU_BAABD_MW.v;ARE_2MS_SA_MS_CA_MW.v;RTN_BSB_DIN_ANA034.v;RPDP.Geracao.AM.MAUA 6;SIS_BR_CALC_PI_ANA1_MW_6.v;SME_NE_BA_AF_FPMS.v;UFE_AM_FMTJT_MW.v
ACO_NE_CJU_BAARI_MVAR.v;ACCS_230_CHSC27_S.s;APLRJ_69P0_BAT.c;ACO_NE_CJU_BAABL_GDS.v;ARE_2MS_SA_MS_FX_STR_MW.v;RTN_BSB_DIN_ANA035.v;RPDP.Geracao.AM.MAUA 7;SIS_BR_CALC_PI_ANA1_MW_7.v;SME_NE_BA_AF_FPMS_PARCELA_SINCRONOS.v;UFE_AM_FX_AMAZONAS_MW.v
ACO_NE_CJU_BAARI_MW.v;ACCS_230_CHSC28_S.s;APMCP_230_BA1.c;ACO_NE_CJU_BAABL_MVAR.v;ARE_2MS_SA_MS_GE_MMGD_MW.v;RTN_BSB_DIN_ANA036.v;RPDP.Geracao.AM.MAUA BLOCO 3;SIS_BR_CALC_PI_ANA1_MW_8.v;SME_NE_BA_AF_FPMS_PARCELA_UGE.v;UFE_AM_FX_FJPOR_MW.v
ACO_NE_CJU_BABAB_GDS.v;ACCS_230_CHSC29_S.s;APMCP_230_BA2.c;ACO_NE_CJU_BAABL_MW.v;ARE_2MS_SA_MS_GE_T1_MW.v;RTN_BSB_DIN_ANA037.v;RPDP.Geracao.AM.SAO JOSE;SIS_BR_CALC_PI_ANA1_MW_9.v;SME_NE_BA_AF_MW.S_HIDRAULICA_GER.v;UFE_AM_FX_MANAUS_MW.v
ACO_NE_CJU_BABAB_MVAR.v;ACCS_69P0_CHSC110_S.s;APMCP_69P0_BAP.c;ACO_NE_CJU_BAALV_GDS.v;ARE_2MS_SA_MS_GE_T2B_MW.v;RTN_BSB_DIN_ANA038.v;RPDP.Geracao.AR.CJJCAMARA3_ ATLANTIC;SIS_BR_CALC_PI_ANA2_MW_1.v;SME_NE_BA_AF_MW.S_HIDRAULICA_SINC.v;UFE_AM_F_XGTU_MW.v
ACO_NE_CJU_BABAB_MW.v;ACCS_69P0_CHSC111_S.s;APMCP_69P0_BAT.c;ACO_NE_CJU_BAALV_MW.v;ARE_2MS_SA_MS_GE_T2C_MW.v;RTN_BSB_DIN_ANA039.v;RPDP.Geracao.AR.CJMORRINHOS;SIS_BR_CALC_PI_ANA2_MW_2.v;SME_NE_BA_AF_MW.S_SINCRONO.v;UFE_AM_GE_FGOMES_CCALD_SAJARI_MW.v
ACO_NE_CJU_BABBC_GDS.v;ACCS_69P0_CHSC112_S.s;APMCT_230_BA1.c;ACO_NE_CJU_BAARA_GDS.v;ARE_2MS_SA_MS_GE_T3_MW.v;RTN_BSB_DIN_ANA040.v;RPDP.Geracao.AR.EURUS II;SIS_BR_CALC_PI_ANA2_MW_3.v;SME_NE_BA_AF_MW.S_TERMICA.v;UFE_AM_GE_F_GOMES_C_CALDEIRAO_MW.v
